Sample_size,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Others,Lead,Pollster,Date_conducted
2000,37.0,20.0,17.0,8.0,9.0,4,5.0,17.0,Market-Lazarsfeld,2026-02-17
2000,36.0,21.0,19.0,7.0,9.0,5,3.0,15.0,Market-Lazarsfeld,2026-02-10
2000,35.0,24.0,18.0,8.0,9.0,3,3.0,11.0,Market-Lazarsfeld,2026-02-03
1000,37.0,20.0,20.0,8.0,9.0,3,3.0,17.0,INSA,2026-01-14
2000,35.0,21.0,18.0,9.0,10.0,3,4.0,14.0,Market-Lazarsfeld,2026-01-14
2000,36.0,19.0,18.0,9.0,11.0,4,3.0,17.0,Market-Lazarsfeld,2026-01-07
1509,36.0,20.0,18.0,9.0,11.0,4,2.0,16.0,IFDD,2026-01-05
2000,38.0,18.0,18.0,9.0,11.0,3,3.0,20.0,Market-Lazarsfeld,2025-12-09
2000,38.0,19.0,18.0,9.0,11.0,2,3.0,19.0,Market-Lazarsfeld,2025-11-18
2000,37.0,20.0,18.0,8.0,10.0,3,4.0,17.0,Market-Lazarsfeld,2025-11-04
1215,36.0,21.0,17.0,9.0,11.0,4,2.0,15.0,IFDD,2025-10-21
2000,38.0,21.0,17.0,7.0,11.0,4,2.0,17.0,Market-Lazarsfeld,2025-10-14
2000,38.0,20.0,17.0,8.0,10.0,4,3.0,18.0,Market-Lazarsfeld,2025-10-07
2000,36.0,21.0,18.0,8.0,11.0,3,3.0,15.0,Market-Lazarsfeld,2025-09-16
1500,36.0,21.0,18.0,10.0,11.0,3,1.0,15.0,IFDD,2025-09-12
1027,33.0,23.0,19.0,10.0,11.0,3,1.0,10.0,OGM,2025-09-11
2000,36.0,21.0,18.0,8.0,11.0,3,3.0,15.0,Market-Lazarsfeld,2025-09-09
2000,36.0,21.0,19.0,9.0,10.0,2,3.0,15.0,Market-Lazarsfeld,2025-09-02
1000,37.0,19.0,20.0,9.0,9.0,4,2.0,17.0,INSA,2025-08-27
810,35.0,22.0,20.0,10.0,9.0,3,1.0,13.0,Market,2025-07-30
1000,37.0,19.0,20.0,9.0,10.0,4,1.0,17.0,INSA,2025-07-17
1250,32.0,24.0,19.0,10.0,11.0,3,1.0,8.0,IFDD,2025-06-07
800,31.0,23.0,19.0,13.0,10.0,3,1.0,8.0,Unique Research,2025-06-05
824,34.0,21.0,20.0,10.0,10.0,3,2.0,13.0,Market,2025-06-03
2000,34.0,20.0,21.0,9.0,10.0,3,3.0,13.0,Market-Lazarsfeld,2025-05-27
1011,32.0,22.0,21.0,12.0,9.0,–,4.0,10.0,OGM,2025-05-26
1000,36.0,20.0,20.0,8.0,9.0,4,2.0,16.0,INSA,2025-05-21
2000,34.0,22.0,21.0,9.0,9.0,3,2.0,12.0,Market-Lazarsfeld,2025-05-13
2000,33.0,21.0,21.0,10.0,9.0,3,3.0,12.0,Market-Lazarsfeld,2025-05-06
2000,33.0,22.0,21.0,10.0,9.0,2,3.0,11.0,Market-Lazarsfeld,2025-04-29
2000,34.0,22.0,20.0,10.0,9.0,3,2.0,12.0,Market-Lazarsfeld,2025-04-22
1000,34.0,20.0,22.0,9.0,9.0,3,3.0,12.0,INSA,2025-04-16
2000,34.0,21.0,20.0,10.0,9.0,3,3.0,13.0,Market-Lazarsfeld,2025-04-15
2000,34.0,21.0,20.0,10.0,9.0,3,3.0,13.0,Market-Lazarsfeld,2025-04-15
1042,32.0,23.0,21.0,11.0,9.0,2,2.0,9.0,OGM,2025-04-09
2000,33.0,21.0,21.0,10.0,8.0,3,4.0,12.0,Market-Lazarsfeld,2025-04-08
2000,34.0,21.0,20.0,10.0,8.0,3,4.0,13.0,Market-Lazarsfeld,2025-04-01
2000,34.0,21.0,20.0,11.0,9.0,2,3.0,13.0,Market-Lazarsfeld,2025-03-25
2000,33.0,22.0,21.0,12.0,8.0,2,2.0,11.0,Market-Lazarsfeld,2025-03-18
2000,33.0,21.0,21.0,11.0,9.0,3,2.0,12.0,Market-Lazarsfeld,2025-03-11
829,32.0,21.0,21.0,12.0,9.0,3,2.0,11.0,Market,2025-03-07
2000,34.0,20.0,21.0,11.0,9.0,3,2.0,13.0,Market-Lazarsfeld,2025-03-04
1000,34.0,20.0,23.0,9.0,9.0,–,5.0,11.0,INSA,2025-02-26
2000,35.0,19.0,21.0,11.0,9.0,3,2.0,14.0,Market-Lazarsfeld,2025-02-25
941,34.0,19.0,21.0,13.0,10.0,2,1.0,13.0,OGM,2025-02-18
2000,34.0,18.0,22.0,11.0,10.0,3,2.0,12.0,Market-Lazarsfeld,2025-02-18
1250,33.0,19.0,22.0,11.0,10.0,3,2.0,11.0,IFDD,2025-02-15
1001,35.0,19.0,22.0,10.0,9.0,3,3.0,13.0,Spectra,2025-02-14
2000,33.0,19.0,23.0,10.0,10.0,3,2.0,10.0,Market-Lazarsfeld,2025-02-11
2000,34.0,19.0,22.0,9.0,10.0,3,3.0,12.0,Market-Lazarsfeld,2025-02-04
2000,34.0,19.0,22.0,10.0,9.0,3,3.0,12.0,Market-Lazarsfeld,2025-01-28
2000,35.0,18.0,21.0,12.0,9.0,3,2.0,14.0,Market-Lazarsfeld,2025-01-21
1000,35.0,20.0,20.0,11.0,8.0,–,6.0,15.0,INSA,2025-01-15
2000,38.0,17.0,19.0,12.0,9.0,3,2.0,19.0,Market-Lazarsfeld,2025-01-14
1000,39.0,17.0,19.0,10.0,10.0,3,2.0,20.0,Market-Lazarsfeld,2025-01-08
1250,37.0,21.0,19.0,11.0,8.0,3,1.0,16.0,IFDD,2025-01-04
1250,37.0,21.0,20.0,10.0,8.0,3,1.0,16.0,IFDD,2024-12-18
2000,36.0,20.0,19.0,10.0,8.0,3,4.0,16.0,Market-Lazarsfeld,2024-12-17
809,35.0,22.0,20.0,10.0,8.0,3,,13.0,Market,2024-12-17
2000,36.0,21.0,19.0,10.0,8.0,3,3.0,15.0,Market-Lazarsfeld,2024-12-10
800,35.0,20.0,21.0,12.0,8.0,2,2.0,14.0,Unique Research,2024-12-04
1004,34.0,21.0,20.0,9.0,8.0,3,,13.0,INSA,2024-12-04
2000,35.0,20.0,19.0,11.0,8.0,4,3.0,15.0,Market-Lazarsfeld,2024-12-03
2000,33.0,21.0,19.0,11.0,8.0,4,4.0,12.0,Market-Lazarsfeld,2024-11-26
1018,32.0,24.0,20.0,12.0,7.0,–,5.0,8.0,OGM,2024-11-26
2000,32.0,23.0,20.0,10.0,8.0,3,4.0,9.0,Market-Lazarsfeld,2024-11-19
1000,32.0,22.0,21.0,9.0,8.0,2,,10.0,INSA,2024-11-13
2000,33.0,23.0,21.0,9.0,8.0,3,3.0,10.0,Market-Lazarsfeld,2024-11-12
2000,34.0,23.0,21.0,9.0,8.0,3,2.0,11.0,Market-Lazarsfeld,2024-11-05
2000,33.0,23.0,21.0,10.0,8.0,3,2.0,10.0,Market-Lazarsfeld,2024-10-29
1008,32.0,25.0,20.0,10.0,8.0,2,3.0,7.0,OGM,2024-10-28
2000,33.0,23.0,19.0,11.0,8.0,4,2.0,10.0,Market-Lazarsfeld,2024-10-22
2000,32.0,25.0,19.0,10.0,8.0,3,3.0,7.0,Market-Lazarsfeld,2024-10-15
2000,33.0,26.0,19.0,10.0,7.0,2,3.0,7.0,Market-Lazarsfeld,2024-10-08
2000,30.0,25.0,20.0,11.0,8.0,2,4.0,5.0,Market-Lazarsfeld,2024-10-01
