Year,Polling firm,Fieldwork date,Sample size,A,V,M,F,Æ,I,C,Ø,B,Å,O,H,Others,Lead,Gov.,Opp.,Red,Blue
2026,Voxmeter,2-8 Feb 2026,"1,001",22.5,10.7,6.3,13.0,9.0,9.7,7.7,6.3,3.8,1.9,6.0,2.3,0.8,9.5,39.5,60.5,47.5,45.4
2026,Voxmeter,25 Jan–1 Feb 2026,"1,001",22.3,12.0,5.0,11.3,9.2,10.0,7.4,6.2,4.7,2.3,6.8,1.9,0.9,10.3,39.3,59.8,46.8,47.3
2026,Epinion,21–28 Jan 2026,"2,034",21.6,9.9,4.6,13.0,8.8,11.4,7.1,6.9,5.2,2.2,7.0,1.9,0.0,8.6,36.1,63.5,48.9,46.7
2026,Voxmeter,19–25 Jan 2026,"1,035",23.1,10.8,7.0,12.6,8.9,10.5,6.5,7.3,3.7,1.7,5.4,2.0,0.5,10.5,40.9,58.6,48.4,44.1
2026,Megafon,20–22 Jan 2026,"1,012",22.7,10.1,6.4,14.3,6.2,10.4,6.6,7.8,5.0,1.9,7.3,1.3,0.0,8.4,39.2,60.8,51.3,41.9
2026,Voxmeter,12–18 Jan 2026,"1,007",21.2,11.0,5.0,14.0,9.9,10.9,6.9,6.0,4.3,2.3,6.6,1.6,0.3,7.2,37.2,62.5,47.8,46.9
2026,Voxmeter,5–11 Jan 2026,"1,005",19.8,10.8,3.3,14.9,10.3,10.5,6.6,7.5,5.4,2.4,6.5,1.5,0.5,4.9,33.9,65.6,50.0,46.2
2022,2022 election result,–,27.50,13.32,9.27,8.30,8.12,7.89,5.51,5.13,3.79,3.33,2.64,—,5.21 [ a ],14.18,50.09,49.79,48.95,41.65,
2025,Voxmeter,15–21 Dec 2025,"1,005",18.9,12.2,2.8,13.9,10.0,11.2,7.9,6.1,5.4,2.1,6.8,2.3,0.4,5.0,33.9,65.7,46.4,50.4
2025,Voxmeter,8–14 Dec 2025,"1,000",18.6,11.7,2.4,14.3,9.2,11.7,7.8,7.0,5.2,2.0,8.0,1.7,0.4,4.3,32.7,67.3,47.1,50.1
2025,Epinion,4–11 Dec 2025,"2,034",16.5,11.6,1.5,16.0,9.9,10.4,8.5,6.8,5.1,1.7,9.3,2.2,0.0,0.5,29.6,70.4,46.1,51.9
2025,Voxmeter,1–7 Dec 2025,"1,005",18.0,11.3,2.7,15.6,8.6,12.2,7.0,7.7,4.6,1.6,8.1,2.0,0.6,2.4,32.0,68.0,47.5,49.2
2025,Megafon,1 Dec–4 Dec 2025,"1,008",17.7,12.7,2.2,14.8,8.4,11.9,8.6,7.3,4.7,1.7,7.9,1.1,0.7,2.9,32.6,67.4,46.2,50.5
