Sample_size,Social Democrats,Venstre (Liberal Party),The Moderates,Socialist People’s Party,Denmark Democrats,Liberal Alliance,Conservative People’s Party,Red–Green Alliance,Social Liberal Party,The Alternative,Danish People’s Party,Hard Line (Stram Kurs),Others,Lead,Pollster,Date_conducted
2034,16.5,11.6,1.5,16.0,9.9,10.4,8.5,6.8,5.1,1.7,9.3,2.2,0.0,0.5,Epinion,2025-12-11
1000,18.6,11.7,2.4,14.3,9.2,11.7,7.8,7.0,5.2,2.0,8.0,1.7,0.4,4.3,Voxmeter,2025-12-14
1005,18.0,11.3,2.7,15.6,8.6,12.2,7.0,7.7,4.6,1.6,8.1,2.0,0.6,2.4,Voxmeter,2025-12-07
1008,17.7,12.7,2.2,14.8,8.4,11.9,8.6,7.3,4.7,1.7,7.9,1.1,0.7,2.9,Megafon,2025-12-04
1672,19.5,11.3,3.3,15.7,9.6,11.0,7.3,5.7,4.8,1.7,8.7,1.0,1.4,3.8,Verian,2025-12-02
1002,19.4,12.0,2.9,14.7,8.5,10.9,7.2,7.0,4.0,2.2,8.9,2.0,0.3,4.7,Voxmeter,2025-11-30
2034,17.5,11.5,1.8,14.1,10.5,11.8,8.8,6.5,3.7,3.0,8.7,1.4,0.0,3.4,Epinion,2025-11-25
1024,19.3,11.5,2.4,13.0,8.2,12.8,7.3,7.6,5.2,1.7,8.3,2.0,0.5,6.3,Voxmeter,2025-11-23
1007,19.9,10.4,2.9,12.1,9.2,11.4,7.2,7.7,6.2,2.1,8.3,2.1,0.5,7.8,Voxmeter,2025-11-16
1005,21.1,9.6,3.1,12.2,9.5,9.9,7.9,6.6,5.8,1.8,8.4,3.1,1.0,8.9,Voxmeter,2025-11-09
1784,22.8,10.5,3.3,12.5,7.6,10.5,7.9,7.3,3.8,1.3,10.1,0.9,1.3,10.3,Verian,2025-11-04
1006,19.8,11.2,2.8,16.2,8.0,10.9,7.0,7.2,4.4,1.9,9.4,0.4,0.8,3.6,Megafon,2025-11-06
1005,21.1,10.5,3.5,12.3,8.0,10.8,7.1,7.0,5.4,2.1,9.6,2.1,0.5,8.8,Voxmeter,2025-11-02
1002,21.2,10.4,4.4,12.6,9.3,11.3,6.3,6.7,4.1,1.8,9.4,2.2,0.3,8.6,Voxmeter,2025-10-26
1004,20.0,11.8,3.7,12.4,9.0,11.0,6.4,7.2,4.2,2.3,9.2,2.0,0.8,7.6,Voxmeter,2025-10-19
1004,20.3,10.7,3.3,12.5,9.5,12.2,6.2,6.3,5.2,2.9,8.9,1.5,0.4,7.7,Voxmeter,2025-10-12
2052,20.9,9.1,2.7,12.5,7.9,11.4,6.2,7.6,4.8,2.4,12.0,1.4,1.1,8.4,Epinion,2025-10-02
1031,19.2,9.5,4.2,13.1,9.1,13.0,6.9,7.3,4.8,2.2,8.3,1.8,0.6,6.1,Voxmeter,2025-10-05
1638,22.1,10.3,3.1,14.2,8.6,12.3,5.7,7.2,4.2,1.2,9.2,0.9,0.8,7.9,Verian,2025-09-30
1006,20.4,10.0,3.4,12.0,9.6,11.7,7.0,7.3,4.2,2.7,8.1,2.3,1.3,8.4,Voxmeter,2025-09-28
1014,21.6,9.0,3.2,12.6,8.8,12.8,8.1,7.2,4.9,1.7,7.8,1.7,0.6,8.8,Megafon,2025-09-25
1014,21.7,10.7,3.0,12.5,8.4,12.3,6.6,8.2,3.5,2.0,8.4,2.1,0.6,9.2,Voxmeter,2025-09-21
1006,22.0,9.2,3.0,12.6,9.2,12.8,6.0,7.8,3.6,3.2,7.8,1.4,0.8,9.2,Voxmeter,2025-09-14
1000,21.4,11.0,3.2,13.3,10.2,11.8,6.2,7.4,3.9,2.6,6.5,1.9,0.6,8.1,Voxmeter,2025-09-07
