Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,19– 20 Dec,Tecnè,998,28.6,23.7,10.7,8.8,11.4,2.7,2.2,6.2,1.8,,,,3.9,4.9
2024,18– 23 Dec,SWG,"1,200",29.1,22.2,11.5,8.8,9.1,3.2,2.7,6.7,1.9,,1.2,1.0,2.6,6.9
2024,18– 20 Dec,Ipsos,"1,000",27.6,22.5,13.3,8.6,8.1,2.0,2.0,6.0,2.3,,1.0,1.0,5.6,5.0
2024,18– 19 Dec,Termometro Politico,"2,800",29.6,22.7,10.6,8.8,8.4,2.7,2.4,6.7,1.8,1.3,1.1,0.6,2.9,6.9
2024,12– 20 Dec,Winpoll,"1,500",28.2,25.6,10.8,9.3,7.3,2.7,2.4,7.6,2.4,1.6,,,2.1,2.6
2024,11– 16 Dec,SWG,"1,200",29.3,22.2,11.2,8.4,9.4,3.1,2.5,6.9,2.0,,1.1,1.0,2.9,7.1
2024,12– 13 Dec,Demopolis,"2,000",29.5,24.0,11.8,8.7,9.0,2.4,2.0,6.4,,,,,,5.5
2024,12– 13 Dec,Tecnè,"1,000",28.7,23.8,10.9,8.6,11.4,2.5,2.2,6.1,1.9,,,,3.9,4.9
2024,11– 12 Dec,Termometro Politico,"2,800",29.5,23.0,10.9,9.0,8.2,2.8,2.3,6.6,1.8,1.3,1.1,0.6,2.9,6.5
2024,10– 11 Dec,Eumetra,800,28.8,23.2,11.3,8.6,9.1,2.8,2.4,6.4,1.9,,1.1,,4.4,5.6
2024,6– 11 Dec,Ixè,"1,000",27.1,23.1,12.1,9.4,9.8,2.4,2.2,6.8,2.3,,,,4.8,4.0
2024,5– 6 Dec,Tecnè,"1,002",28.9,23.6,10.8,8.5,11.3,2.4,2.3,6.2,2.0,,,,4.0,5.3
2024,4– 9 Dec,SWG,1.200,28.8,22.4,11.5,8.7,9.2,3.2,2.4,6.9,2.0,,1.2,1.0,2.7,6.4
2024,5– 6 Dec,Quorum,"1,202",27.5,24.2,11.6,8.6,7.8,3.5,2.1,6.0,2.0,,1.1,,5.6,3.3
2024,4– 5 Dec,Termometro Politico,"2,900",29.5,22.8,10.6,8.8,8.4,2.9,2.4,6.7,1.8,1.4,1.0,0.6,3.1,6.7
2024,3– 5 Dec,BiDiMedia,"1,000",28.4,24.6,11.0,8.6,9.0,2.5,1.9,6.5,1.4,1.4,0.7,0.7,3.3,3.8
2024,3– 4 Dec,Eumetra,800,28.9,23.0,11.7,8.8,8.8,2.5,2.2,6.4,2.1,,1.2,,4.4,5.9
2024,27 Nov – 2 Dec,SWG,"1,200",29.1,22.4,11.7,8.9,9.0,2.9,2.5,6.7,2.0,,1.3,1.0,2.5,6.7
2024,28– 29 Nov,Tecnè,"1,000",29.1,23.4,10.7,8.6,11.4,2.5,2.2,6.1,2.1,,,,3.9,5.7
2024,28 Nov,Ipsos,"1,000",27.7,22.6,13.0,8.7,8.0,2.2,2.0,6.2,2.2,,1.2,1.0,5.2,5.1
2024,27– 28 Nov,Termometro Politico,"3,100",29.3,23.0,10.6,8.6,8.5,2.9,2.4,6.6,1.8,1.4,1.2,0.6,3.2,6.3
2024,21– 28 Nov,Winpoll,"1,500",27.8,26.1,10.4,8.7,9.4,2.1,2.1,6.5,1.4,1.9,,,3.6,1.7
2024,25 Nov,Euromedia,"1,000",29.5,24.2,11.5,9.0,8.9,2.5,2.2,5.5,2.6,,0.4,,3.7,5.3
2024,21– 22 Nov,Tecnè,"1,000",29.3,23.1,10.6,8.6,11.3,2.4,2.3,6.3,2.0,,,,4.1,6.2
2024,20– 21 Nov,Termometro Politico,"3,100",29.3,22.9,10.5,8.8,8.4,2.9,2.4,6.7,1.7,1.4,1.2,0.7,3.3,6.4
2024,20– 25 Nov,SWG,"1,200",29.4,22.6,11.2,8.7,8.9,2.7,2.6,6.8,1.9,,1.1,1.1,3.0,6.8
2024,13– 19 Nov,SWG,"1,200",29.6,22.1,11.2,9.0,8.9,2.5,2.5,6.9,2.0,1.2,1.0,1.0,1.9,7.5
2024,14– 15 Nov,Tecnè,"1,001",29.5,22.9,10.6,8.7,11.3,2.5,2.4,6.2,1.9,,,,4.0,6.6
2024,13– 15 Nov,Quorum,"1,202",28.3,23.2,11.9,9.0,8.7,3.0,2.1,6.1,1.9,,,,5.8,5.1
2024,13– 14 Nov,Termometro Politico,"3,100",29.6,22.8,10.2,8.7,8.6,2.8,2.3,6.7,1.7,1.5,1.2,0.6,3.3,6.8
2024,11– 12 Nov,Demopolis,"2,000",29.2,23.5,11.4,8.7,9.2,2.3,2.0,6.3,1.6,,,,1.5,5.7
2024,6– 11 Nov,SWG,"1,200",29.8,22.1,11.3,8.9,8.9,2.6,2.3,6.7,2.1,1.0,1.2,1.0,2.1,7.7
2024,7– 8 Nov,Tecnè,"1,000",29.5,22.8,10.7,8.6,11.3,2.5,2.4,6.1,2.0,,,,4.1,6.7
2024,6– 7 Nov,Termometro Politico,"3,200",29.7,22.7,10.0,8.8,8.4,3.0,2.3,6.7,1.8,1.4,1.2,0.7,3.3,7.0
2024,1– 4 Nov,Quorum,"1,204",28.8,22.7,11.9,8.9,9.1,2.4,2.2,6.3,2.2,,,,5.5,6.1
2024,29 Oct – 4 Nov,SWG,"1,200",29.4,22.3,11.6,8.8,8.9,2.6,2.4,6.5,2.0,1.0,1.1,1.1,2.3,7.1
2024,30– 31 Oct,Termometro Politico,"3,000",29.5,22.9,10.3,8.6,8.5,3.0,2.3,6.7,1.6,1.5,1.1,0.7,3.3,6.6
